time,double_support,RT_single_support,LT_single_support,Pelvis_A_X,Pelvis_A_Y,Pelvis_A_Z,Lower spine_A_X,Lower spine_A_Y,Lower spine_A_Z,Upper spine_A_X,Upper spine_A_Y,Upper spine_A_Z,Pelvis_Gyro_X,Pelvis_Gyro_Y,Pelvis_Gyro_Z,Lower spine_Gyro_X,Lower spine_Gyro_Y,Lower spine_Gyro_Z,Upper spine_Gyro_X,Upper spine_Gyro_Y,Upper spine_Gyro_Z
0.0,1,0,0,9.758765966796876,-0.08798691101319384,0.893635769641062,9.797073193359376,0.054767362977300046,-0.110881464431955,9.165003955078125,0.12389993587631101,3.4644098024912604,-1.33984375,1.061523438,0.2489013672,-0.8120117188,1.079101563,-0.2736816406,-0.525390625,0.8510742188,-0.1743164063
0.005,1,0,0,9.773131177248146,-0.0989104560821405,0.8834604126466895,9.78270798388877,0.059967269708718046,-0.1500865165741095,9.160215552248145,0.1246481239410785,3.4548329958506354,-1.596679688,0.8940429688,0.1810302734,-0.7963867188,1.056640625,-0.2890625,-0.3054199219,0.9213867188,-0.09942626953
0.01,1,0,0,9.74918916015625,-0.09270049552702961,0.8852560638059985,9.792284790529395,0.06842179432083835,-0.146869308042709,9.165003955078125,0.1051952354339215,3.459621398680615,-1.802734375,0.8837890625,0.2641601563,-0.7700195313,1.00390625,-0.1047973633,-0.4125976563,1.004882813,-0.1375732422
0.015,1,0,0,9.758765966796876,-0.1019032081450775,0.8930372192873145,9.797073193359376,0.07594108390593585,-0.135422031387265,9.160215552248145,0.10878653794867249,3.46680400390625,-1.696289063,0.8540039063,0.1733398438,-1.033203125,0.9848632813,0.04797363281,-0.06256103516,1.15234375,-0.003107070923
0.02,1,0,0,9.753977563966895,-0.101753570532124,0.9074024292482521,9.81622681154395,0.0802057556201377,-0.153827456701814,9.145850341796875,0.1377414142409445,3.4739866091318854,-1.697265625,0.9399414063,0.271484375,-1.115234375,1.043945313,-0.0461730957,-0.0006394386292,1.015625,0.06610107422
0.025,1,0,0,9.74918916015625,-0.06333411579423215,0.9020154754761255,9.82580361328125,0.086191259765625,-0.155473470346236,9.174580761718751,0.135496850242775,3.4644098024912604,-1.704101563,0.9248046875,0.3024902344,-1.09375,1.112304688,-0.06060791016,0.120300293,1.17578125,-0.06518554688
0.03,1,0,0,9.773131177248146,-0.09696516724123146,0.900818374670564,9.80665,0.06759878749862736,-0.1306336280669525,9.145850341796875,0.11821370697634401,3.4548329958506354,-1.690429688,0.994140625,0.2866210938,-1.240234375,1.072265625,-0.2413330078,-0.0927734375,1.114257813,-0.04849243164
0.035,1,0,0,9.76355437060752,-0.08910919304169855,0.8954314208984375,9.80665,0.08304887008973451,-0.1459714824630545,9.16979235888877,0.1246481239410785,3.4548329958506354,-1.556640625,0.8569335938,0.3117675781,-1.188476563,1.00390625,-0.1173095703,-0.07702636719,1.036132813,-0.2312011719
0.04,1,0,0,9.76355437060752,-0.09232640152406581,0.9211690887573755,9.80665,0.08132803763883575,-0.142604636416767,9.174580761718751,0.1177647941374835,3.4620156010762697,-1.608398438,0.708984375,0.275390625,-1.237304688,0.919921875,-0.1954345703,-0.2668457031,0.9350585938,-0.359375
0.045,1,0,0,9.76355437060752,-0.10392331577285001,0.915782134985249,9.81622681154395,0.06471826363069551,-0.1336263801298895,9.179369165529396,0.11110592080235202,3.4428619877950197,-1.833007813,0.859375,0.1802978516,-1.041992188,0.9379882813,0.1324462891,0.07513427734,1.06640625,-0.3696289063
